monthly_salary,credit_score,travel_spend,dining_spend,shopping_spend,grocery_spend,entertainment_spend,fuel_spend,utilities_spend,card_recommended,card_name
377459,757,9574,305,2228,3753,772,3269,7547,7,HDFC Regalia
67853,810,7199,1146,16906,4377,965,1223,1015,3,Amazon Pay ICICI
79810,729,6090,9811,13984,3015,157,1233,3360,5,HDFC Millennia
63228,754,2482,5482,1563,605,2294,1341,68,5,HDFC Millennia
28010,793,598,7333,2148,2158,1278,984,801,3,Amazon Pay ICICI
15091,747,985,2205,1207,200,786,442,793,0,Kotak 811
51111,794,217,9309,649,1624,3458,1487,1022,5,HDFC Millennia
239242,640,396,2641,8554,1922,5275,3231,4668,0,Kotak 811
11032,757,1291,970,630,2700,560,939,330,0,Kotak 811
13309,607,1253,1777,876,62,102,523,662,0,Kotak 811
120241,643,4944,5859,6918,4037,2256,977,2197,0,Kotak 811
11545,742,397,991,664,299,377,157,1247,0,Kotak 811
91624,729,1709,11471,313,305,2930,156,1177,5,HDFC Millennia
46751,728,1715,2412,7142,5187,1141,2795,226,3,Amazon Pay ICICI
15705,660,34,68,2821,157,29,289,1167,0,Kotak 811
22817,731,816,1573,1930,737,346,82,417,2,Axis Flipkart
145155,656,4483,3648,4933,8507,993,918,7756,0,Kotak 811
311297,779,4241,4743,2155,2522,5732,1966,2169,8,IndusInd Legend
291900,784,1909,215,10283,9718,525,1849,639,7,HDFC Regalia
46672,700,631,8942,6668,4212,668,303,2636,4,SBI Cashback Card
342537,719,1309,3509,14093,1384,9115,1004,12764,4,SBI Cashback Card
31479,727,16,1212,1130,95,886,519,1267,3,Amazon Pay ICICI
273076,706,3013,10061,783,3358,2970,581,2962,4,SBI Cashback Card
13172,640,293,536,365,239,1628,1056,25,0,Kotak 811
265260,737,4770,1921,6743,4030,429,666,1034,3,Amazon Pay ICICI
31731,819,877,2766,399,7813,2547,874,1422,4,SBI Cashback Card
30565,675,1288,18,3596,2647,47,449,4725,0,Kotak 811
137527,819,3925,9591,14983,3662,1933,1170,10207,8,IndusInd Legend
50163,705,5271,3273,281,14326,1442,551,1271,4,SBI Cashback Card
14428,739,119,408,2184,736,148,83,233,0,Kotak 811
416294,640,9979,3701,9275,24703,154,244,3823,0,Kotak 811
22006,716,63,34,460,942,2417,430,301,1,SBI SimplyCLICK
28626,773,2641,1530,8322,134,3061,47,907,3,Amazon Pay ICICI
491701,721,7808,7406,6643,10308,1494,1424,3928,5,HDFC Millennia
14332,715,1073,572,429,488,906,450,1590,0,Kotak 811
377369,785,6984,146,5729,6995,4143,575,6056,7,HDFC Regalia
18949,715,124,530,179,1671,108,1157,1288,2,Axis Flipkart
46120,711,4212,2442,7286,3170,772,2450,502,4,SBI Cashback Card
39444,545,8070,2671,7853,473,1328,2555,1380,0,Kotak 811
11789,755,215,820,1493,125,431,301,340,0,Kotak 811
34219,687,261,716,384,4721,204,1506,67,2,Axis Flipkart
52433,674,4754,3100,5371,6473,1089,4,3978,0,Kotak 811
12042,810,171,1775,37,1788,297,94,69,0,Kotak 811
22361,756,573,1731,1759,240,305,195,214,2,Axis Flipkart
51569,706,1818,1490,6502,1832,642,934,197,4,SBI Cashback Card
25845,781,97,2500,25,1088,413,977,1502,3,Amazon Pay ICICI
89113,760,4233,14797,1275,8361,2519,770,1929,5,HDFC Millennia
86505,650,2646,164,4473,2109,7962,319,3170,0,Kotak 811
12785,683,1147,1687,1866,123,528,735,440,0,Kotak 811
45245,739,4712,322,9100,2503,636,445,1023,3,Amazon Pay ICICI
49662,900,3275,1234,11995,2273,274,2154,2046,3,Amazon Pay ICICI
28385,632,3911,325,1387,3908,3962,549,803,0,Kotak 811
469836,705,2806,9338,6926,6371,18959,187,756,4,SBI Cashback Card
17718,645,1833,1473,1846,194,744,2293,1721,0,Kotak 811
33787,752,1246,153,1880,1711,3566,1107,504,1,SBI SimplyCLICK
296245,772,17845,6504,12732,8306,3607,879,176,7,HDFC Regalia
24077,745,5206,7855,1640,3920,1285,535,819,1,SBI SimplyCLICK
36437,676,1291,3246,1480,855,1453,29,1859,0,Kotak 811
12311,748,152,205,250,57,436,722,8,0,Kotak 811
311805,809,3507,2004,39407,20387,1743,723,5467,7,HDFC Regalia
132233,779,1642,8543,7251,483,2157,1009,1195,8,IndusInd Legend
93332,654,7454,6703,5157,18011,1069,46,1696,0,Kotak 811
24452,759,360,1899,120,1292,14,1987,3651,0,Kotak 811
94831,761,1192,1023,8626,5403,4217,888,1782,5,HDFC Millennia
204225,710,1348,12659,1642,17658,690,2282,757,4,SBI Cashback Card
22563,795,996,1142,166,3078,369,617,652,2,Axis Flipkart
26600,821,2924,1675,241,575,191,113,484,0,Kotak 811
12113,699,12,105,228,546,346,58,267,0,Kotak 811
16704,665,1949,2270,993,897,164,43,569,0,Kotak 811
18697,675,2330,2000,544,104,233,1455,750,0,Kotak 811
108270,715,4434,947,12987,1607,3169,1246,2719,4,SBI Cashback Card
179545,701,1413,10278,55042,1425,924,2609,10095,4,SBI Cashback Card
67265,724,2976,1290,10237,1226,812,208,1371,3,Amazon Pay ICICI
298620,711,666,335,140,930,3218,3120,4632,1,SBI SimplyCLICK
143565,673,2016,6085,549,2692,2295,13390,1930,0,Kotak 811
484521,752,7559,7530,2145,14462,503,2365,87,7,HDFC Regalia
145617,724,798,19275,14307,11961,1566,3448,466,5,HDFC Millennia
59841,598,799,6647,8210,752,5035,600,9650,0,Kotak 811
21910,785,706,523,4420,1939,520,469,200,1,SBI SimplyCLICK
18989,745,391,3087,4458,1,684,771,732,2,Axis Flipkart
113693,655,12292,6081,17170,3658,485,6380,1841,0,Kotak 811
19609,539,613,4096,2430,851,571,55,3272,0,Kotak 811
52382,748,885,5298,7856,4689,1997,3737,171,5,HDFC Millennia
445267,656,7254,11210,7564,254,695,6218,1367,0,Kotak 811
38503,703,9067,3234,5216,98,199,1235,3531,4,SBI Cashback Card
449290,783,2347,8866,4960,13669,7150,219,8269,8,IndusInd Legend
10075,744,206,2451,51,130,310,276,417,0,Kotak 811
15796,741,13,1057,4252,1385,1092,6,493,2,Axis Flipkart
21100,722,1834,1121,341,1763,159,1390,801,2,Axis Flipkart
46304,839,88,471,4508,10092,428,1967,3728,3,Amazon Pay ICICI
12263,786,1426,102,116,298,1019,54,624,0,Kotak 811
20929,704,402,645,3014,2713,407,362,38,1,SBI SimplyCLICK
69215,695,2929,9332,19043,3989,8309,1699,1387,2,Axis Flipkart
32860,735,1328,4931,5860,1358,532,712,1117,4,SBI Cashback Card
53997,742,4806,485,8137,807,1280,408,2526,3,Amazon Pay ICICI
35255,722,7122,1336,1053,786,863,1607,325,0,Kotak 811
29532,679,1469,541,4000,126,2261,208,2450,0,Kotak 811
239402,789,609,1179,5094,512,654,6907,11250,7,HDFC Regalia
12072,719,437,37,1574,725,109,45,233,0,Kotak 811
13870,771,278,523,1958,860,44,8,59,0,Kotak 811
57826,671,7240,7071,1064,3321,1545,1815,6759,0,Kotak 811
19918,702,1625,2047,291,2881,133,228,228,2,Axis Flipkart
92376,697,1474,2766,1303,13006,30,5137,2543,2,Axis Flipkart
11857,607,87,3329,26,1539,735,133,69,0,Kotak 811
117572,730,762,1673,13847,1409,225,2915,1545,3,Amazon Pay ICICI
438883,743,1346,2467,3859,315,2058,315,1537,5,HDFC Millennia
39435,881,36,4784,1769,1645,2614,601,76,5,HDFC Millennia
40089,769,1682,2180,15,2230,776,4590,277,4,SBI Cashback Card
444358,819,6364,5599,1368,9579,3820,216,1869,7,HDFC Regalia
40898,738,1958,3162,4454,5920,396,168,3120,5,HDFC Millennia
38777,778,1002,8178,263,2473,1386,1312,457,5,HDFC Millennia
116325,635,3721,8617,9377,1395,2523,4854,1697,0,Kotak 811
127313,780,5450,2788,134,7288,65,2393,536,7,HDFC Regalia
54092,647,2982,8169,11873,2861,2820,658,906,0,Kotak 811
17280,788,462,110,960,807,763,209,793,0,Kotak 811
50496,781,942,2211,500,542,1080,2322,4657,6,ICICI Coral
65534,675,1257,20511,5943,6485,19,1531,100,0,Kotak 811
258775,711,11345,2236,1758,11322,7093,1872,2978,4,SBI Cashback Card
18817,797,1231,621,5158,3662,176,24,1017,2,Axis Flipkart
11054,720,126,1036,1146,1968,583,251,2125,0,Kotak 811
19894,810,1411,7434,647,1097,318,369,1547,0,Kotak 811
407137,688,277,13167,2993,2266,2152,6779,146,2,Axis Flipkart
44899,699,1312,8872,6443,2526,7999,899,107,2,Axis Flipkart
80661,639,2204,9206,5092,1197,3981,697,2024,0,Kotak 811
19716,725,370,33,2529,52,713,488,2734,2,Axis Flipkart
39496,655,4359,18200,2222,1219,3746,268,1509,0,Kotak 811
36258,773,6465,905,6049,165,1120,84,3942,3,Amazon Pay ICICI
26726,652,2552,1693,2805,2996,1040,664,1480,0,Kotak 811
103601,758,2177,3313,9406,5554,1065,1269,736,7,HDFC Regalia
52412,719,82,1051,7947,941,174,1078,21,4,SBI Cashback Card
357500,699,6872,11205,12036,4261,795,4479,3896,2,Axis Flipkart
86145,728,2871,19280,8456,14299,3925,3191,250,5,HDFC Millennia
18071,699,270,3750,3658,1001,45,724,705,2,Axis Flipkart
45080,674,10483,4298,5024,992,2454,2001,688,0,Kotak 811
54011,757,2918,4044,2789,4875,455,2951,268,5,HDFC Millennia
38796,698,432,3143,14275,5420,96,585,4031,2,Axis Flipkart
107456,735,2376,3817,377,1272,4689,1452,1077,5,HDFC Millennia
14846,682,258,3011,1293,905,538,216,977,0,Kotak 811
138025,730,978,544,6974,352,3351,1814,3261,5,HDFC Millennia
148921,734,540,3128,4977,4669,5117,452,4948,5,HDFC Millennia
65574,765,11621,376,3997,4935,775,1096,2969,4,SBI Cashback Card
51370,725,1629,9405,11639,4756,4025,152,4114,5,HDFC Millennia
53264,671,1122,3618,3106,1814,2923,3817,3012,0,Kotak 811
44859,695,2797,7414,190,6372,1519,1342,1328,2,Axis Flipkart
323805,890,2305,2117,8586,1397,4812,3899,1609,7,HDFC Regalia
75775,818,2000,5650,3615,2178,75,9,773,5,HDFC Millennia
245872,840,10511,622,1980,7404,5207,4668,1608,7,HDFC Regalia
31382,753,4102,5515,4297,89,1074,1551,21,4,SBI Cashback Card
18572,718,187,1622,2291,291,1629,346,114,2,Axis Flipkart
11490,709,3404,481,389,750,166,33,0,0,Kotak 811
175761,659,783,1075,2518,9445,7085,8861,793,0,Kotak 811
24158,661,2957,1953,434,1085,327,1031,583,0,Kotak 811
59470,788,7412,13284,9724,9044,1902,3326,860,5,HDFC Millennia
38824,665,7593,1165,400,2324,91,145,384,0,Kotak 811
96159,643,472,336,8236,9887,2132,135,2300,0,Kotak 811
137186,735,7245,16140,11030,8262,800,148,2186,5,HDFC Millennia
183351,721,11283,14067,1276,2740,2895,416,10328,5,HDFC Millennia
10788,666,1554,185,580,514,394,25,110,0,Kotak 811
78706,721,5984,29026,7439,2775,769,4949,5055,5,HDFC Millennia
43454,661,953,574,1331,1938,2294,570,692,0,Kotak 811
29392,789,8,6488,330,4338,775,1012,840,2,Axis Flipkart
166304,726,7395,21,2893,3286,782,534,115,4,SBI Cashback Card
18414,745,729,792,7015,329,178,203,139,2,Axis Flipkart
111883,741,9045,1133,14254,12614,2391,2562,1444,5,HDFC Millennia
10076,657,1783,519,384,1171,277,119,673,0,Kotak 811
42276,707,3655,496,1097,7241,34,1890,1085,4,SBI Cashback Card
417531,654,1559,2820,5333,2305,10418,6490,6136,0,Kotak 811
35006,827,465,2577,219,1493,1107,641,1933,6,ICICI Coral
37213,667,879,1904,7810,122,2432,548,2870,0,Kotak 811
87328,799,782,13596,3887,3648,3670,4126,808,5,HDFC Millennia
146148,625,8132,640,8450,1715,46,437,2799,0,Kotak 811
17190,650,2401,104,3860,356,926,203,1345,0,Kotak 811
96558,765,2724,11945,18663,34482,500,4770,927,5,HDFC Millennia
23716,639,3841,154,2763,2916,1504,110,562,0,Kotak 811
37676,703,4945,1830,3058,1559,928,18,502,4,SBI Cashback Card
59012,615,1739,1309,15246,3482,31,37,8522,0,Kotak 811
47620,770,3830,1557,6898,2159,1260,1591,35,3,Amazon Pay ICICI
20839,842,6527,1096,2939,1003,36,247,321,1,SBI SimplyCLICK
48761,684,1947,4255,3661,13606,2510,371,216,2,Axis Flipkart
47228,661,1121,41,5702,454,2800,1023,2897,0,Kotak 811
82745,717,851,8374,18193,4846,2246,3465,15,4,SBI Cashback Card
24648,673,4310,280,3673,606,2673,1003,1381,0,Kotak 811
125888,700,7786,4382,4646,2265,2609,3141,1587,4,SBI Cashback Card
64018,752,3759,725,9036,1653,6026,3488,1088,5,HDFC Millennia
10148,726,370,411,398,3236,58,122,269,0,Kotak 811
56042,738,2343,4165,4599,2987,1576,348,3755,5,HDFC Millennia
89480,662,3287,716,20384,1216,874,1252,1449,0,Kotak 811
494359,699,6847,655,852,639,34,1909,10879,0,Kotak 811
281436,757,3557,5056,3152,4947,227,3471,1005,8,IndusInd Legend
127643,694,9139,6506,4269,10269,7080,306,2277,2,Axis Flipkart
172694,743,8640,14744,2312,14057,1159,1928,155,5,HDFC Millennia
38017,694,675,642,4214,1,2492,100,323,2,Axis Flipkart
31131,726,44,1400,6473,893,123,1414,1159,4,SBI Cashback Card
101420,740,1048,4207,5903,2000,8894,4435,3844,5,HDFC Millennia
20239,583,1238,223,1138,520,1770,26,1983,0,Kotak 811
16786,707,3431,1004,606,604,46,2439,26,0,Kotak 811
23025,630,321,3092,3126,1995,248,75,790,0,Kotak 811
15279,819,4519,1870,3897,265,1975,75,434,2,Axis Flipkart
26845,811,2419,1747,2785,29,189,3602,84,3,Amazon Pay ICICI
14242,782,1779,1388,861,886,1079,298,266,0,Kotak 811
138287,606,2471,2125,2289,1071,1351,693,3450,0,Kotak 811
49405,730,3447,1555,491,14720,666,871,2073,4,SBI Cashback Card
37975,705,404,6848,4399,873,103,1425,1290,4,SBI Cashback Card
34187,712,829,201,320,1555,601,794,497,2,Axis Flipkart
18243,734,239,1709,902,784,462,267,77,0,Kotak 811
57430,691,740,1085,133,10431,543,474,753,2,Axis Flipkart
14284,741,355,1406,1164,337,601,56,439,0,Kotak 811
30241,665,179,831,12454,7830,467,5417,2259,0,Kotak 811
39379,747,2250,1281,6707,123,3223,906,800,5,HDFC Millennia
26502,780,236,1227,1817,1095,1203,463,3450,3,Amazon Pay ICICI
117275,687,1076,5551,5253,12108,9152,1245,2117,2,Axis Flipkart
13012,673,893,304,2800,858,107,105,354,0,Kotak 811
143161,661,6958,348,3457,4229,2465,3130,1314,0,Kotak 811
136256,672,2509,1906,3635,10844,482,1461,2033,0,Kotak 811
52007,739,1688,5741,16916,2555,566,4733,1925,5,HDFC Millennia
47353,746,837,4265,3703,1005,1614,2611,54,5,HDFC Millennia
52206,713,2448,669,7160,35,385,1452,2616,4,SBI Cashback Card
28130,697,2149,2536,3440,1511,543,226,1958,2,Axis Flipkart
129835,752,562,27766,1762,71,17883,791,3308,8,IndusInd Legend
122694,738,9574,9831,6919,2104,6573,4407,1920,5,HDFC Millennia
272431,754,435,7845,3199,6856,1399,377,1563,8,IndusInd Legend
234193,659,8187,12862,19137,662,413,1954,6732,0,Kotak 811
37047,750,1606,661,1426,2655,111,189,112,4,SBI Cashback Card
11868,666,83,1212,201,1800,614,700,168,0,Kotak 811
115186,698,6609,4944,16081,4502,2187,2069,4150,2,Axis Flipkart
23468,771,3905,1417,2239,1236,92,1097,1290,1,SBI SimplyCLICK
450763,754,12369,6801,4013,7018,1264,779,17126,7,HDFC Regalia
84154,629,7148,2495,49,3918,47,231,1186,0,Kotak 811
10502,711,2668,678,2805,4,579,784,63,0,Kotak 811
106514,766,891,19252,3647,2507,6228,1991,2179,8,IndusInd Legend
61095,750,1313,3042,5589,918,3307,704,2653,5,HDFC Millennia
211160,676,3297,4994,8307,19524,2768,1967,43,0,Kotak 811
76571,671,488,7616,5257,7401,858,941,1220,0,Kotak 811
119858,632,10241,4381,4559,187,6340,31,8687,0,Kotak 811
207645,723,3582,1485,4201,6337,3896,1,8286,5,HDFC Millennia
198068,697,1703,735,848,7626,5784,712,63,2,Axis Flipkart
54414,591,2884,4262,5763,317,2170,5332,1694,0,Kotak 811
168402,682,12978,2456,6169,599,671,1280,692,2,Axis Flipkart
116494,664,9149,5040,4342,417,1874,4125,2859,0,Kotak 811
37213,811,2673,4649,1304,2037,813,629,391,5,HDFC Millennia
52114,722,1609,1957,1052,2343,8678,589,1908,5,HDFC Millennia
16207,704,556,329,797,697,890,51,465,0,Kotak 811
132908,753,2958,5080,13095,1931,234,2952,1979,8,IndusInd Legend
39716,711,5152,2733,992,996,2581,57,7688,6,ICICI Coral
49399,782,1578,3047,249,9,554,1804,255,5,HDFC Millennia
106835,718,5602,1179,622,16920,906,4607,5974,4,SBI Cashback Card
335964,716,540,2597,47493,13180,148,1988,3130,4,SBI Cashback Card
432781,688,7017,6534,3181,1128,246,2836,4607,2,Axis Flipkart
87073,698,621,3791,6840,188,964,80,1635,2,Axis Flipkart
11689,764,1657,679,195,2382,662,492,577,0,Kotak 811
111667,705,7070,10944,7976,1555,960,907,372,4,SBI Cashback Card
28970,808,4155,255,3690,2694,116,2371,973,3,Amazon Pay ICICI
17607,695,1180,2608,895,1040,361,201,1145,0,Kotak 811
23813,729,586,1694,1442,2604,228,8,1427,2,Axis Flipkart
66026,693,6266,550,2090,10203,1123,7634,10296,2,Axis Flipkart
131200,702,1424,3827,9309,3468,359,2937,7278,4,SBI Cashback Card
51624,845,920,12262,960,13922,30,1083,837,5,HDFC Millennia
32507,769,1045,3431,3764,4658,373,978,1144,4,SBI Cashback Card
18974,704,1308,1640,5707,1985,40,1309,1506,2,Axis Flipkart
22495,708,520,4403,1183,2482,108,204,1481,2,Axis Flipkart
253235,715,989,5911,8658,804,4632,43,1977,4,SBI Cashback Card
22306,750,1010,611,2211,223,949,237,0,1,SBI SimplyCLICK
18620,881,920,960,2911,213,276,569,874,2,Axis Flipkart
55857,768,1727,164,4474,5511,271,651,3395,3,Amazon Pay ICICI
248938,686,5601,2916,3859,9175,9873,325,1637,2,Axis Flipkart
68245,750,468,23584,6591,5745,605,600,2939,5,HDFC Millennia
126567,674,1240,16505,5507,2723,6199,1206,1223,0,Kotak 811
51329,692,3483,1403,4418,279,435,859,5674,2,Axis Flipkart
495535,783,7492,23775,19583,13703,3945,1097,336,7,HDFC Regalia
76651,714,9225,1283,770,13684,1291,1923,1336,4,SBI Cashback Card
53757,744,328,3415,6521,6767,2132,284,2663,5,HDFC Millennia
32351,799,785,2864,787,2313,3162,1654,3292,4,SBI Cashback Card
143729,783,1305,23789,7133,9465,268,486,4261,8,IndusInd Legend
97449,704,2943,10146,485,10140,2048,344,6506,4,SBI Cashback Card
33521,699,822,10004,6931,1071,1188,2015,780,2,Axis Flipkart
55505,715,11616,5246,408,932,3275,3271,2134,6,ICICI Coral
20919,835,344,222,1845,2418,4170,950,1320,1,SBI SimplyCLICK
18534,546,1033,746,657,2990,1018,1156,506,0,Kotak 811
141991,758,5482,4907,17545,705,584,1343,406,7,HDFC Regalia
42667,655,1589,5247,7354,2759,338,861,5878,0,Kotak 811
48086,782,145,7361,3822,845,734,509,1455,5,HDFC Millennia
115032,747,2020,62,7379,7302,3156,8250,5962,5,HDFC Millennia
147616,768,2846,2086,2436,4161,525,999,1174,7,HDFC Regalia
39706,857,1611,11785,1609,2871,150,1183,149,5,HDFC Millennia
23330,608,451,3072,1066,711,1770,1398,411,0,Kotak 811
18860,781,838,636,11040,2233,1080,1874,1649,2,Axis Flipkart
34066,764,1110,4167,1064,3262,2,2236,42,4,SBI Cashback Card
35247,734,1151,600,1431,3668,1559,84,1939,4,SBI Cashback Card
28688,627,7224,850,794,749,2602,928,1505,0,Kotak 811
102039,754,2165,18853,3003,19650,6952,756,4881,8,IndusInd Legend
59269,745,357,108,339,255,5651,2422,2679,5,HDFC Millennia
185814,726,13,1709,19711,16141,3825,3483,287,5,HDFC Millennia
17652,701,669,3939,362,5389,3647,458,131,2,Axis Flipkart
143038,736,5282,9277,927,2679,10345,6151,6464,5,HDFC Millennia
14746,703,584,360,649,209,396,745,638,0,Kotak 811
69705,653,3156,2771,6779,19306,278,1102,1455,0,Kotak 811
56323,733,3789,7348,6062,2287,1623,2928,1054,5,HDFC Millennia
294526,779,1990,408,1370,29627,2483,1058,1019,7,HDFC Regalia
142238,717,3514,15082,17262,3566,962,1198,1471,4,SBI Cashback Card
90868,782,853,2534,476,1888,4388,5191,751,5,HDFC Millennia
130966,730,1667,940,10011,5518,3196,20,7873,5,HDFC Millennia
55216,805,4,3036,7716,7655,4671,1181,2199,5,HDFC Millennia
281401,769,22434,672,1990,18020,9533,246,45,7,HDFC Regalia
16644,710,697,2512,34,1235,215,1056,221,0,Kotak 811
399109,743,7473,4867,22036,4217,6543,1064,1427,5,HDFC Millennia
396052,722,3996,3142,7898,8765,9711,1661,356,5,HDFC Millennia
11816,709,376,34,814,763,386,464,92,0,Kotak 811
194498,780,657,4130,1807,371,1181,372,3712,8,IndusInd Legend
371516,704,5220,3233,7842,2221,2795,1780,74,4,SBI Cashback Card
10352,775,293,54,2533,444,254,142,408,0,Kotak 811
57875,729,5694,1582,6314,2575,5091,3455,1725,5,HDFC Millennia
31107,702,701,3486,773,1224,2498,1282,643,6,ICICI Coral
21927,722,4987,580,1436,1042,112,389,297,0,Kotak 811
47829,803,2016,619,524,504,203,1440,418,0,Kotak 811
39669,688,3202,1715,5292,382,2602,370,454,2,Axis Flipkart
23546,642,718,351,692,575,765,399,2779,0,Kotak 811
56887,680,5704,1751,1015,2605,1369,29,283,2,Axis Flipkart
408308,792,3202,5926,3304,2344,70,1665,1982,8,IndusInd Legend
16201,815,322,320,1195,218,711,482,59,0,Kotak 811
40531,739,1074,2790,1698,284,7999,176,121,5,HDFC Millennia
127913,658,1367,2520,3966,7646,2149,6899,128,0,Kotak 811
15622,623,798,2401,432,2611,12,659,1690,0,Kotak 811
233721,691,5267,3944,995,1446,199,2049,2918,0,Kotak 811
122509,718,5786,10727,1681,3609,3531,2434,3780,4,SBI Cashback Card
22974,652,332,1616,1344,63,353,1222,1075,0,Kotak 811
18933,630,571,290,3576,536,691,423,40,0,Kotak 811
345457,762,4199,5913,7620,5944,2420,10316,3953,8,IndusInd Legend
70985,766,662,20875,6573,7541,332,4500,5189,5,HDFC Millennia
30624,716,474,460,3372,2303,1263,90,2743,4,SBI Cashback Card
32904,735,976,5243,8715,951,2625,1601,3515,4,SBI Cashback Card
96303,720,1864,2337,7765,11442,2818,4604,922,5,HDFC Millennia
14830,714,724,1285,1329,1581,502,32,73,0,Kotak 811
27368,792,1694,886,3847,2290,1110,706,12,3,Amazon Pay ICICI
117003,663,3986,1743,1708,2496,1942,842,2170,0,Kotak 811
444067,723,5807,3436,7457,2498,1074,2071,2068,5,HDFC Millennia
20400,771,357,125,223,2735,32,702,259,2,Axis Flipkart
42883,577,2137,417,24897,1901,734,1699,776,0,Kotak 811
30651,741,1582,2972,3081,10240,182,550,678,4,SBI Cashback Card
51562,730,8121,1517,610,7553,12101,571,913,5,HDFC Millennia
58637,718,3060,13540,9794,6352,3132,367,4083,4,SBI Cashback Card
23813,738,785,1386,1100,2571,1460,1097,1221,1,SBI SimplyCLICK
38142,748,3218,1219,567,1553,5961,312,1445,5,HDFC Millennia
35363,727,4363,964,318,7801,672,972,2221,4,SBI Cashback Card
74849,833,2546,4068,2310,7296,4860,653,127,5,HDFC Millennia
59607,763,1031,2417,3330,10120,7729,4262,3028,5,HDFC Millennia
136816,843,5116,1744,6627,9535,1933,3783,1338,7,HDFC Regalia
152921,824,2382,2632,3921,3157,2356,1881,2062,7,HDFC Regalia
31931,725,2045,603,1223,701,1039,117,3458,3,Amazon Pay ICICI
32207,736,828,364,995,1486,39,1517,1252,3,Amazon Pay ICICI
23331,614,68,396,427,373,1040,459,4480,0,Kotak 811
422204,713,3639,11115,4918,1384,5288,1852,498,4,SBI Cashback Card
45448,796,2493,2352,12274,287,1264,1689,2853,3,Amazon Pay ICICI
396281,711,106,2397,5773,14500,5623,327,292,4,SBI Cashback Card
35956,680,1501,2116,2138,850,184,119,2037,2,Axis Flipkart
17830,719,1252,581,2120,1710,868,387,1757,2,Axis Flipkart
15229,663,331,1794,603,337,112,726,84,0,Kotak 811
111458,717,1479,947,2560,2224,2213,2615,1439,4,SBI Cashback Card
25567,714,1195,49,212,1107,2928,1045,94,1,SBI SimplyCLICK
70652,637,3041,4498,5460,4705,8393,5257,5892,0,Kotak 811
58071,691,2380,8707,4085,6403,347,540,3056,2,Axis Flipkart
55314,665,2689,465,9042,2043,2313,2287,520,0,Kotak 811
33463,805,404,7636,4707,624,551,1776,1592,4,SBI Cashback Card
22399,804,257,1598,2661,755,1060,1545,572,1,SBI SimplyCLICK
59986,670,1816,2504,4935,1244,4144,672,2932,0,Kotak 811
114933,796,2445,1293,2514,4221,2273,3930,4701,7,HDFC Regalia
154263,724,374,9030,5094,4982,3183,6141,175,5,HDFC Millennia
96978,689,9507,10052,8197,2485,219,2082,3815,2,Axis Flipkart
99159,727,3490,828,5607,3022,596,4421,33,3,Amazon Pay ICICI
19118,635,814,261,2125,2144,89,385,56,0,Kotak 811
109757,729,36,1437,7180,2822,12441,73,19709,5,HDFC Millennia
32835,707,2134,19946,1002,2254,1565,189,211,4,SBI Cashback Card
48457,757,1878,176,17085,4880,756,595,1153,3,Amazon Pay ICICI
15287,778,333,5653,120,1325,363,289,374,0,Kotak 811
133757,751,1493,10822,2857,7747,386,443,1138,8,IndusInd Legend
17274,808,1152,241,13,1932,77,47,1,2,Axis Flipkart
23811,660,1487,1188,1628,1063,2975,184,692,0,Kotak 811
440669,679,417,5634,2549,1048,2359,1823,236,0,Kotak 811
137395,585,1453,1471,2199,4047,10153,4284,1004,0,Kotak 811
480955,692,5882,19936,1269,1547,767,50,2779,2,Axis Flipkart
34982,656,433,1188,1496,1771,569,127,220,0,Kotak 811
104839,643,12133,1713,7715,1930,2122,3703,6404,0,Kotak 811
87915,655,48,3470,13898,4035,1119,4929,508,0,Kotak 811
141397,691,766,18334,3899,2467,42,399,1640,2,Axis Flipkart
51199,680,4808,2923,700,5501,1035,499,964,2,Axis Flipkart
427132,808,1163,4042,3327,10555,68,670,496,8,IndusInd Legend
50968,726,1825,14568,9678,4996,699,294,5186,5,HDFC Millennia
188575,787,7309,3342,1994,31246,9409,4450,3497,7,HDFC Regalia
14161,597,2340,21,815,24,374,315,219,0,Kotak 811
121189,729,4010,1343,2540,1059,860,611,2198,3,Amazon Pay ICICI
468457,809,1418,3068,15324,2669,2750,301,173,7,HDFC Regalia
97317,663,2490,910,5399,5308,1941,945,3836,0,Kotak 811
11667,831,2295,579,620,276,4,119,54,0,Kotak 811
129634,802,6828,1452,9431,9658,1274,454,7,7,HDFC Regalia
21248,728,2503,506,545,1113,587,164,269,0,Kotak 811
13427,811,243,191,551,869,459,60,328,0,Kotak 811
59818,726,6548,2677,7757,3414,2327,963,3497,5,HDFC Millennia
36587,748,942,3247,3762,7826,2694,1220,611,5,HDFC Millennia
45011,779,750,17241,989,3085,4669,228,6365,5,HDFC Millennia
17720,797,4540,282,2573,586,136,310,1119,2,Axis Flipkart
32463,760,219,6140,136,1467,69,104,1396,6,ICICI Coral
15492,725,816,48,1037,1542,1259,1347,245,2,Axis Flipkart
20722,711,174,1867,1700,2584,1112,650,3561,1,SBI SimplyCLICK
92675,768,14170,7160,6798,3701,1359,1044,3034,5,HDFC Millennia
346879,676,17600,12830,6415,3045,1359,29,859,0,Kotak 811
14379,745,383,144,8111,1780,302,797,656,0,Kotak 811
48924,690,2625,2742,5079,14121,112,1335,3890,2,Axis Flipkart
48437,731,2142,10490,7943,4575,9,865,426,5,HDFC Millennia
25106,708,460,473,2294,187,60,374,1280,1,SBI SimplyCLICK
